"","id","title","n_words","n_tokens","n_w","n_c","n_s","publication_date","text_type","context","respondent_age","respondent_class","respondent_sex","interaction_type","region","author_age","author_domicile","author_sex","author_type","audience_age","domain","difficulty","medium","publication_place","sampling_type","circulation","audience_sex","availability","mode","derived_type","genre"
"1","A00","[ACET factsheets & newsletters]. Sample containing about 6688 words of miscellanea (domain: social science)",6673,7518,6708,810,423,"1985-1993","written_misc","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","social_science","medium","misc_published","UK_south","composite","medium","mixed","cleared","written","prose","W:non_ac:medicine"
"2","A01","[ACET AIDS leaflets]. Sample containing about 7851 words of miscellanea (domain: social science)",7816,8801,7898,903,588,"1985-1993","written_misc","---","---","---","---","---","---","unknown","unknown","unknown","corporate","adult","social_science","low","misc_published","UK_south","composite","low","mixed","cleared","written","prose","W:non_ac:medicine"
"3","A02","ACET Annual Review 1990/91. Sample containing about 3378 words of miscellanea (domain: social science)",3347,3703,3376,327,223,"1985-1993","written_misc","---","---","---","---","---","---","unknown","unknown","unknown","corporate","adult","social_science","medium","misc_published","UK_south","whole","low","mixed","cleared","written","misc_published","W:institut_doc"
"4","A03","Amnesty. Sample containing about 19310 words from a periodical (domain: world affairs)",19255,21701,19433,2268,1051,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","mixed","multiple","adult","world_affairs","medium","periodical","UK_south","whole","high","mixed","cleared","written","misc_published","W:pop_lore"
"5","A04","Art criticism: a user's guide. Sample containing about 38875 words from a book (domain: arts)",38802,43861,39163,4698,1621,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","UK","male","sole","adult","arts","high","book","UK_south","beginning","medium","mixed","cleared","written","academic","W:ac:humanities_arts"
"6","A05","Authors. Sample containing about 41110 words from a book (domain: arts)",41008,47403,41363,6040,1706,"1985-1993","written_books_periodicals","---","---","---","---","---","---","45-59","UK","male","sole","adult","arts","high","book","UK_south","middle","low","mixed","cleared","written","academic","W:ac:humanities_arts"
"7","A06","So you want to be an actor?. Sample containing about 35807 words from a book (domain: arts)",35894,40556,36208,4348,2404,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","UK","male","sole","adult","arts","low","book","UK_south","beginning","medium","mixed","cleared","written","prose","W:non_ac:humanities_arts"
"8","A07","The tragedy of belief. Sample containing about 39139 words from a book (domain: belief and thought)",38722,43507,39198,4309,1513,"1985-1993","written_books_periodicals","---","---","---","---","---","---","45-59","UK","male","sole","adult","belief_thought","high","book","UK_south","middle","low","mixed","cleared","written","academic","W:ac:humanities_arts"
"9","A08","The big glass. Sample containing about 40097 words from a book (domain: imaginative)",39775,47332,40186,7146,3201,"1985-1993","written_books_periodicals","---","---","---","---","---","---","45-59","UK","male","sole","adult","imaginative","high","book","UK_north","beginning","medium","mixed","cleared","written","fiction","W:fict:prose"
"10","A0A","[CAMRA fact sheets]. Sample containing about 5782 words of miscellanea (domain: leisure)",5722,6362,5776,586,295,"unknown","written_misc","---","---","---","---","---","---","unknown","unknown","unknown","corporate","adult","leisure","medium","misc_published","UK_south","composite","medium","mixed","cleared","written","misc_published","W:misc"
