Word,SemD,cosMean,WordCount,nContexts
aa,1.631540332,0.023359292,537,297
aaa,0.964860322,0.108427558,90,58
aachen,0.887000407,0.129717805,131,74
aah,1.035931033,0.092059575,92,58
aaron,1.431312302,0.037041426,171,120
ab,1.712061137,0.019406127,504,302
aba,0.807100427,0.155919191,80,46
ababa,0.920699625,0.120032921,166,84
aback,1.472167774,0.033715704,291,290
abandon,1.943347016,0.011393391,1230,1167
abandoned,1.905053732,0.012443606,2878,2635
abandoning,1.957566539,0.011026393,466,455
abandonment,1.835309378,0.014611359,476,449
abandons,1.484428508,0.032777173,85,84
abate,1.484503326,0.032771527,67,51
abated,1.689997119,0.020417515,92,89
abatement,1.073663363,0.084398871,127,74
abattoir,1.450627978,0.035430071,62,50
abba,1.064873385,0.08612448,97,58
abbas,1.271316453,0.053540639,102,87
abbess,0.796270197,0.159856317,54,43
abbey,1.36693146,0.042960422,1735,1046
abbeys,0.998488626,0.100348613,126,108
abbot,1.019031767,0.095712406,505,334
abbots,0.999239062,0.100175366,177,141
abbott,1.492736852,0.032156084,254,158
abbreviated,1.759220287,0.017409236,158,128
abbreviation,1.464422094,0.03432242,83,68
abbreviations,1.385696247,0.041143739,117,98
abc,1.585377699,0.025978992,350,200
abd,0.827272981,0.148842522,113,63
abdel,0.726371914,0.187770813,178,115
abdicated,1.108453757,0.077901576,59,54
abdication,1.263734184,0.054483603,113,92
abdomen,1.23578983,0.058104554,275,222
abdominal,1.167510322,0.067996988,534,308
abducted,1.432452175,0.036944333,161,145
abduction,1.406444624,0.039224316,209,143
abdul,1.131291667,0.073910873,270,184
abdullah,0.797642933,0.159351834,192,129
abel,1.738918053,0.018242399,179,126
aberdeen,1.262271215,0.054667446,1275,818
aberdeens,0.752610581,0.176762208,77,59
aberdeenshire,1.179117262,0.066203773,65,56
abergavenny,1.168871968,0.067784131,55,43
aberrant,1.621513872,0.023904856,88,79
aberration,1.717995502,0.019142758,142,138
aberystwyth,1.037182299,0.09179472,252,126
abetted,1.710577581,0.019472532,81,79
abeyance,1.856169213,0.013926141,81,81
abhorrent,1.654631306,0.022149743,61,59
abi,0.94174726,0.114354363,125,70
abide,1.849358109,0.014146268,286,269
abiding,1.607997705,0.024660524,300,287
abigail,0.973772491,0.106225188,85,46
abilities,1.728418669,0.018688796,1251,1032
ability,1.965413566,0.010828952,8536,6726
abingdon,0.782815006,0.16488646,372,239
abject,1.703883978,0.019774979,112,112
ablaze,1.520139021,0.030189852,155,151
able,2.067612103,0.008558308,25696,19565
ably,1.721102829,0.019006282,94,93
abnormal,1.534559453,0.029203879,766,547
abnormalities,1.231296731,0.058708809,435,273
abnormality,1.346071122,0.045074288,277,190
abnormally,1.772927375,0.016868351,144,130
aboard,1.325585605,0.047251369,883,730
abode,1.567217307,0.027088359,154,139
abolish,1.683675072,0.020716908,525,460
abolished,1.74541946,0.017971343,1036,907
abolishing,1.646109811,0.022588645,201,194
abolition,1.612181344,0.024424105,1099,861
abolitionist,0.724025424,0.188788083,65,43
abolitionists,0.646994111,0.225426978,168,57
abominable,1.496672192,0.031866019,81,75
aboriginal,1.421322876,0.037903309,208,115
aborigines,1.344116646,0.045277595,132,83
abort,1.494254114,0.032043938,95,83
aborted,1.753561704,0.017637552,143,128
abortion,1.283700209,0.052035507,1209,500
abortions,1.066448005,0.085812785,236,128
abortive,1.617043144,0.024152209,241,234
abound,1.721265958,0.018999144,265,262
abounded,1.570598261,0.026878296,97,96
abounds,1.721022809,0.019009784,77,76
about,2.011263611,0.00974398,152206,59619
above,2.09249808,0.008081685,23942,17531
abraham,1.261949402,0.05470797,428,243
abrahams,1.206473261,0.062162252,93,58
abrams,1.233573901,0.058401782,98,63
abrasion,1.023505864,0.094731439,70,53
abrasive,1.437154474,0.036546478,231,197
abreast,1.723991976,0.018880262,178,175
abridged,1.517086238,0.030402813,56,49
abroad,1.852338273,0.014049528,3603,2906
abrogated,1.59013033,0.025696245,51,49
abrupt,1.746668196,0.017919744,459,445
abruptly,1.369368349,0.04272004,1134,1070
abs,1.072807867,0.084565288,70,50
abseil,0.455402487,0.350426961,79,41
abseiling,1.031576602,0.092987249,74,53
absence,2.059304273,0.0087236,5496,4516
absences,1.681811524,0.020805994,157,134
absent,1.984583638,0.01036135,1580,1396
absentee,1.488283456,0.032487519,145,116
absenteeism,1.452502066,0.035277511,162,101
absentees,1.421400811,0.037896508,79,52
absently,1.191860194,0.064289464,189,182
absolute,1.966349188,0.010805648,3047,2590
absolutely,1.818072275,0.015202945,3702,3369
absolution,1.321321985,0.047717537,63,58
absolutism,1.123317833,0.075280443,57,49
absolutist,1.013340151,0.096975014,50,43
absolved,1.457798223,0.034849919,79,72
absorb,1.864408665,0.013664424,733,692
absorbed,1.873911646,0.013368675,1498,1345
absorbent,1.395368339,0.040237562,75,67
absorbing,1.828312588,0.014848665,429,408
absorbs,1.448498792,0.035604198,157,146
absorption,1.552675991,0.028010703,958,526
abstain,1.588110764,0.025816017,116,98
abstained,1.459010498,0.034752776,107,100
abstaining,1.488164468,0.032496421,50,48
abstention,1.439958114,0.036311307,93,87
abstentions,1.094133225,0.080513142,217,166
abstinence,1.37689035,0.041986498,141,108
abstract,1.645282703,0.022631706,2081,1623
abstracted,1.587231915,0.025868312,132,115
abstracting,1.192457117,0.064201161,60,54
abstraction,1.3304558,0.04672445,434,338
abstractions,1.2419714,0.057283375,147,127
abstracts,1.272375403,0.053410248,155,112
absurd,1.725825701,0.018800712,886,824
absurdities,1.632677257,0.02329822,54,54
absurdity,1.576604049,0.026509159,242,214
absurdly,1.64949591,0.022413212,176,173
abta,0.694504033,0.202067267,61,41
abu,1.113182943,0.07705788,463,254
abundance,1.687271641,0.020546051,603,533
abundant,1.564056633,0.027286219,574,522
abundantly,1.786483426,0.016349955,168,161
abuse,1.64633822,0.022576768,3323,1946
abused,1.593144912,0.025518497,660,552
abusers,1.181572826,0.065830503,83,67
abuses,1.373934609,0.042273226,445,369
abusing,1.630196661,0.023431675,177,157
abusive,1.383974279,0.041307197,256,173
abysmal,1.702220905,0.019850849,74,71
abyss,1.494256295,0.032043777,138,125
abyssinia,0.828063362,0.148571886,126,67
ac,1.417355699,0.038251133,889,557
academia,1.339653991,0.04574525,100,89
academic,1.572211103,0.026778663,4702,2828
academically,1.356574132,0.043997284,166,155
academics,1.541172628,0.028762549,768,603
academies,1.408270013,0.039059797,71,58
academy,1.464166782,0.034342604,1278,917
academys,1.168928057,0.067775377,52,44
acas,0.891725087,0.128314257,85,43
acc,1.23104277,0.05874315,78,50
accademia,0.636658124,0.230856377,52,40
accede,1.612912789,0.024383004,93,89
acceded,1.561060681,0.027475102,101,99
accelerate,1.805584581,0.015646436,396,363
accelerated,1.838132106,0.0145167,650,594
accelerates,1.461582868,0.03454754,65,63
accelerating,1.710240615,0.019487646,295,273
acceleration,1.441364636,0.036193899,558,362
accelerator,1.16182864,0.068892407,298,212
accent,1.546457052,0.028414692,1135,983
accented,1.436929034,0.036565454,65,58
accents,1.491680441,0.032234398,357,286
accentuate,1.634754413,0.023187055,89,85
accentuated,1.846275814,0.014247025,220,209
accept,2.005597886,0.009871931,8425,6951
acceptability,1.693359059,0.02026007,271,234
acceptable,2.018635287,0.009579982,3312,2892
acceptance,1.915982458,0.012134379,2538,2082
acceptances,0.817372958,0.152274451,86,52
accepted,2.068210863,0.008546517,8182,7030
accepting,2.001449882,0.009966671,1614,1484
accepts,1.872576941,0.013409823,737,681
access,1.964716521,0.010846347,10033,6392
accessed,1.354150229,0.04424353,349,266
accesses,1.178842627,0.066245651,83,47
accessibility,1.591846835,0.025594884,299,228
accessible,1.858572522,0.013849289,1563,1333
accessing,1.244880018,0.056901011,153,137
accession,1.218315828,0.060490082,523,412
accessories,1.183219282,0.065581405,503,382
accessory,1.472148309,0.033717215,207,170
accident,1.633634883,0.023246904,5771,3605
accidental,1.80303039,0.015738727,701,605
accidentally,1.84690716,0.014226329,503,479
accidents,1.471670687,0.033754316,1776,1102
acclaim,1.47563612,0.033447517,255,239
acclaimed,1.361563927,0.043494673,306,282
accolade,1.719017341,0.01909777,151,144
accommodate,1.968851382,0.01074357,1238,1169
accommodated,1.826274963,0.014918496,407,384
accommodates,1.585902512,0.025947618,67,66
accommodating,1.922151247,0.011963238,214,205
accommodation,1.555219821,0.027847113,4024,2376
accompanied,2.000430321,0.009990096,3151,2930
accompanies,1.775309543,0.016776079,226,216
accompaniment,1.179155137,0.066197999,400,322
accompaniments,0.704654658,0.197399179,59,50
accompany,1.936413136,0.011576756,839,800
accompanying,1.94613476,0.01132049,970,898
accompli,1.69222558,0.020313016,66,66
accomplice,1.417023646,0.03828039,185,160
accomplices,1.397727479,0.04001958,73,67
accomplish,1.810388921,0.015474302,247,237
accomplished,1.935600486,0.011598438,897,865
accomplishment,1.668903205,0.021433683,127,122
accomplishments,1.613385948,0.024356454,85,81
accord,1.854800795,0.01397009,1242,976
accordance,1.740291901,0.018184782,1893,1534
accorded,1.820385263,0.015122192,474,452
according,2.084352477,0.008234695,14927,11717
