Word,cosMean,SemD,WordCount,nContexts
aa,0.181330029,2.463310233,537,297
aaa,0.284609357,1.812945002,90,58
aachen,0.286163014,1.805090877,131,74
aah,0.407639356,1.294634748,92,58
aaron,0.268313525,1.898008316,171,120
ab,0.148883975,2.74773962,504,302
aba,0.408473575,1.291685345,80,46
ababa,0.340323535,1.555021169,166,84
aback,0.416086664,1.265044044,291,290
abandon,0.202380836,2.304855412,1230,1167
abandoned,0.216117859,2.210109797,2878,2635
abandoning,0.204779614,2.287855997,466,455
abandonment,0.196249528,2.34923891,476,449
abandons,0.228281702,2.131112872,85,84
abate,0.217424344,2.201414614,67,51
abated,0.234671536,2.091285232,92,89
abatement,0.226860298,2.140123944,127,74
abattoir,0.281734195,1.827593415,62,50
abba,0.299450933,1.739608466,97,58
abbas,0.22886813,2.127411517,102,87
abbess,0.359799144,1.474736342,54,43
abbey,0.263701447,1.923022609,1735,1046
abbeys,0.326776464,1.613624019,126,108
abbot,0.333192599,1.585571739,505,334
abbots,0.337094712,1.568774099,177,141
abbott,0.221062918,2.177471052,254,158
abbreviated,0.193137563,2.372299316,158,128
abbreviation,0.215589837,2.213638925,83,68
abbreviations,0.205557103,2.28238887,117,98
abc,0.210077606,2.251005713,350,200
abd,0.308496223,1.69667527,113,63
abdel,0.411036098,1.282662995,178,115
abdicated,0.291785246,1.777021161,59,54
abdication,0.2787931,1.842733237,113,92
abdomen,0.238061856,2.070591613,275,222
abdominal,0.238663244,2.066951695,534,308
abducted,0.26063467,1.939899088,161,145
abduction,0.268990682,1.894371898,209,143
abdul,0.28293508,1.821457031,270,184
abdullah,0.380766316,1.393022235,192,129
abel,0.212387285,2.235230694,179,126
aberdeen,0.243112467,2.040304217,1275,818
aberdeens,0.397673512,1.330343625,77,59
aberdeenshire,0.292707137,1.772470172,65,56
abergavenny,0.292648036,1.772761501,55,43
aberrant,0.205557463,2.282386341,88,79
aberration,0.2430619,2.040604327,142,138
aberystwyth,0.264611533,1.918052152,252,126
abetted,0.242117167,2.04622272,81,79
abeyance,0.216267774,2.209109392,81,81
abhorrent,0.245903481,2.023835935,61,59
abi,0.273516482,1.870300322,125,70
abide,0.211682732,2.240024507,286,269
abiding,0.25445827,1.974499016,300,287
abigail,0.40556953,1.301978828,85,46
abilities,0.200978994,2.314883376,1251,1032
ability,0.181448784,2.462365703,8536,6726
abingdon,0.383644796,1.382156911,372,239
abject,0.310064633,1.689359119,112,112
ablaze,0.300936834,1.732467395,155,151
able,0.191688337,2.383165535,25696,19565
ably,0.229750302,2.121861338,94,93
abnormal,0.185090152,2.433699956,766,547
abnormalities,0.23728969,2.075278678,435,273
abnormality,0.21072701,2.246552849,277,190
abnormally,0.166678778,2.584857671,144,130
aboard,0.305386994,1.711289472,883,730
abode,0.242726123,2.042598713,154,139
abolish,0.200400145,2.319044541,525,460
abolished,0.186675646,2.421394369,1036,907
abolishing,0.211121651,2.243853554,201,194
abolition,0.217548625,2.200590198,1099,861
abolitionist,0.423669903,1.238987448,65,43
abolitionists,0.461387458,1.115949308,168,57
abominable,0.327041918,1.612452531,81,75
aboriginal,0.237879467,2.071697347,208,115
aborigines,0.259193813,1.947896813,132,83
abort,0.189799283,2.397453554,95,83
aborted,0.185647146,2.429364959,143,128
abortion,0.24613878,2.02245612,1209,500
abortions,0.25709323,1.959636472,236,128
abortive,0.212871421,2.23194582,241,234
abound,0.216572626,2.20707719,265,262
abounded,0.27442433,1.865519702,97,96
abounds,0.228850223,2.127524398,77,76
about,0.2067497,2.274042859,152206,59619
above,0.182788753,2.451750789,23942,17531
abraham,0.278666687,1.843387546,428,243
abrahams,0.285408281,1.808900898,93,58
abrams,0.234167765,2.094385605,98,63
abrasion,0.259065719,1.948609972,70,53
abrasive,0.254503309,1.97424368,231,197
abreast,0.23621716,2.081814323,178,175
abridged,0.231017323,2.113927058,56,49
abroad,0.20440734,2.290481089,3603,2906
abrogated,0.186544656,2.422407065,51,49
abrupt,0.250460102,1.997347291,459,445
abruptly,0.407513877,1.295078906,1134,1070
abs,0.272894879,1.873582771,70,50
abseil,0.518674571,0.947098454,79,41
abseiling,0.329807691,1.600303052,74,53
absence,0.16616276,2.589331009,5496,4516
absences,0.226864396,2.140097886,157,134
absent,0.185879381,2.427561346,1580,1396
absentee,0.247835737,2.012543859,145,116
absenteeism,0.222363778,2.169006298,162,101
absentees,0.237960368,2.071206781,79,52
absently,0.551757914,0.857892677,189,182
absolute,0.184918192,2.435040931,3047,2590
absolutely,0.262028397,1.932204922,3702,3369
absolution,0.306954447,1.703903525,63,58
