Word,SemD_Rep_Log10,cosMean_Rep,SemD_Rep_Log2,WordCount_Rep,nContexts_Rep
aa,1.6061710141774173,0.024764467035641183,5.33558461718969,572,294
aaa,0.9290393181169476,0.11774993657800348,3.086201812107686,96,59
aachen,0.9219329420954518,0.11969253301283499,3.0625949419490452,127,64
aah,1.1464347992304296,0.07137813573025054,3.8083739685201166,152,70
aaron,1.4032739766624034,0.03951172798825696,4.66157524789915,201,121
ab,1.6864147940833547,0.02058662747942339,5.602148684099182,437,288
aba,0.8514335046322496,0.1407882774541525,2.828400879966279,84,51
ababa,0.9343304509170247,0.11632405928812112,3.1037785748100424,165,68
aback,1.461741319082323,0.03453493802039473,4.855799555317281,292,283
abacus,1.4742331316504904,0.03355574368218913,4.897296458443544,51,40
abandon,1.9178587660762554,0.012082066838176737,6.3709889170547225,4233,3645
abandoned,1.516457390853886,0.030446866931876506,5.03756241137711,370,346
abandonment,1.8561911406429192,0.013925437850335416,6.166133499582733,475,436
abate,1.756820357359618,0.01750570649243834,5.836030902782971,198,171
abatement,1.0764948817978992,0.08385039604131309,3.5760385918468915,127,68
abattoir,1.4075792874949085,0.03912196971117301,4.675877180910872,85,66
abba,1.0170328997100975,0.09615394347989045,3.378510162971734,104,58
abbas,1.157001623133374,0.06966239105418118,3.843476197717035,93,79
abbey,1.3588220000780367,0.04377014647074145,4.513908978010267,1834,976
abbot,1.084038491454674,0.08240650750125139,3.601097920702595,669,356
abbott,1.5072521180600786,0.03109910437544466,5.006983157062259,249,142
abbreviate,1.7611054797672938,0.017333829492654083,5.8502657712990604,84,81
abbreviated,1.7491632702129152,0.017817088195710436,5.810594609865338,95,63
abbreviation,1.4524248867173495,0.035283780630763026,4.824851036899958,197,146
abc,1.5767232604207138,0.026501883442286843,5.237761296653972,364,199
abd,0.8250226113153067,0.149615775739459,2.740665791445654,114,64
abdel,0.7188148034149662,0.19106678526741677,2.3878510904851122,172,101
abdicate,1.410260755787356,0.038881162757978274,4.684784825767103,121,108
abdication,1.4084981522395366,0.039039284347955096,4.6789295835214535,115,92
abdomen,1.1963717564119483,0.06362506566855401,3.974260949554591,281,210
abdominal,1.155044557376483,0.06997701978906266,3.8369749659956764,538,260
abduct,1.404392506820357,0.03941009603669599,4.665290924655836,194,162
abduction,1.4352749335550865,0.036704986311512595,4.7678801256642345,229,146
abdul,1.0586322166038264,0.08737109595491573,3.5167001024891347,266,175
abdullah,0.8298949928307324,0.14794660619811495,2.756851492490756,191,120
abel,1.7026080196559152,0.019833162962297396,5.65594141507552,185,125
abercrombie,0.8514749115126379,0.14077485493622793,2.8285384306455623,81,43
aberdeen,1.2234698895193283,0.059776448742596015,4.064278999242994,1324,761
aberdeenshire,1.106711661088555,0.07821469190415203,3.6764165599095318,64,52
abergavenny,1.2394668656988714,0.05761467737406594,4.117419803847063,52,40
aberrant,1.624227891376317,0.02375593392325928,5.395568264862646,89,78
aberration,1.7172015271896752,0.019177786206326146,5.704419997754868,178,166
aberystwyth,1.1013485222394008,0.07918656016091881,3.6586005982897447,239,113
abet,1.6980286030371228,0.020043400153267724,5.640728922351359,140,130
abeyance,1.822755114537602,0.015039897811781654,6.055061425082092,82,80
abhor,1.740028571267181,0.018195811484791085,5.780249796799166,107,103
abhorrent,1.6395013502665272,0.02293499499709007,5.446305597056143,61,59
abi,0.9140736708043125,0.1218782835239155,3.036487007841668,126,67
abide,1.8119169644154698,0.015419952488599412,6.019057869694774,335,314
abiding,1.5749680299533286,0.026609209329652557,5.231930547251363,268,255
abigail,1.0465763172923404,0.089830472225251,3.476651271857176,99,41
ability,1.9540662304287988,0.011115621997881667,6.49126751013207,9712,6619
abingdon,0.7017370136929858,0.19872979580708008,2.331119901009087,368,219
abject,1.6175435545502568,0.024124395815783885,5.373363378564467,110,108
abl,1.3827074000241621,0.041427869542907864,4.593254559148923,55,51
ablaze,1.4718914992821626,0.033737158439441375,4.889517724091298,155,151
able,1.990458957162269,0.010222121598136605,6.612161531517543,25446,16506
ably,1.695821869045568,0.020145503717945226,5.63339831070687,94,91
abnormal,1.5475573220426753,0.028342795154189183,5.140874146542212,760,512
abnormality,1.3060128579250936,0.04942960524106078,4.3384808050255055,708,361
abnormally,1.7639219323380573,0.01722178121484633,5.859621824221797,144,125
aboard,1.3028146093753021,0.049794960319182145,4.327856453313521,882,686
abode,1.5603566308461745,0.02751967933817264,5.183392530051696,161,141
abolish,1.7245824189150327,0.018854611192007823,5.728938789342654,1770,1370
