Word,SemD_Rep_Log10,cosMean_Rep,SemD_Rep_Log2,WordCount_Rep,nContexts_Rep
aa,0.7644182319252875,0.17202111885866364,2.5393424008767362,572,294
aaa,0.5578768282032601,0.2767726498827249,1.8532267090950603,96,59
aachen,0.6210716246965796,0.23929210786296207,2.063155279016908,127,64
aah,0.47641025126903513,0.33387949560051067,1.5826005983829556,152,70
aaron,0.6552974034565159,0.2211579708299783,2.176850855048939,201,121
ab,0.8775890497909005,0.13255952835772677,2.9152877202658964,437,288
aba,0.4541221089917377,0.3514616074594235,1.5085609923691543,84,51
ababa,0.4992351995760035,0.3167851394507127,1.6584234354282255,165,68
aback,0.5604903283031746,0.2751120871508434,1.8619085685029568,292,283
abacus,0.6073906708361001,0.24695016982872067,2.0177081340229233,51,40
abandon,0.7615686759373608,0.17315351976475726,2.529876380782488,4233,3645
abandoned,0.6443068667813037,0.22682615616674315,2.1403410824896616,370,346
abandonment,0.7940280445760347,0.16068374880953062,2.6377040694056046,475,436
abate,0.7825985293544069,0.16496866907752392,2.5997360416799364,198,171
abatement,0.6981733077318786,0.20036722907572338,2.3192815260549677,127,68
abattoir,0.6381402391957836,0.23006987726353006,2.1198559890626147,85,66
abba,0.5817829422039613,0.26194918875542644,1.93264110083357,104,58
abbas,0.6274894711723773,0.23578193571127076,2.0844749035335335,93,79
abbey,0.6445515055060268,0.2266984206372932,2.141153754742417,1834,976
abbot,0.5861113751568507,0.25935141681069956,1.947019843866609,669,356
abbott,0.7327299238229185,0.1850418987558159,2.4340761199120298,249,142
abbreviate,0.78641548942524,0.16352513282890732,2.6124157085763,84,81
abbreviated,0.9138130850492419,0.12195143498225415,3.035621360700771,95,63
abbreviation,0.7664231909354693,0.17122879841623803,2.5460027305417565,197,146
abc,0.7694784125009744,0.17002844676727857,2.556151956896314,364,199
abd,0.4806694302848983,0.33062110246260057,1.5967492848169058,114,64
abdel,0.37453174500922953,0.4221514205182822,1.2441675261733491,172,101
abdicate,0.7163079037545549,0.19217287889318999,2.379523350072129,121,108
abdication,0.690228956513631,0.2040661840736122,2.2928909625474185,115,92
abdomen,0.6504997192261147,0.2236146644403746,2.1609132930135715,281,210
abdominal,0.6104108714677531,0.24523876959587104,2.027741023353408,538,260
abduct,0.6283333780298952,0.2353242168083166,2.0872783014329905,194,162
abduction,0.6543056820120451,0.2216635671969639,2.1735564277202495,229,146
abdul,0.5311437014645632,0.29434475304546054,1.7644211843175988,266,175
abdullah,0.42370485826592147,0.37695988973420413,1.4075170726138324,191,120
abel,0.7789052392226387,0.1663775637882686,2.587467197428645,185,125
abercrombie,0.5458384313690327,0.28455195164392066,1.813236020434037,81,43
aberdeen,0.6374122711007867,0.2304558457350892,2.1174377313956634,1324,761
aberdeenshire,0.5866629176424258,0.25902225643946747,1.948852028344965,64,52
abergavenny,0.5810698570791037,0.2623796466873922,1.9302722833232593,52,40
aberrant,0.767275951982464,0.17089291114887917,2.548835541421994,89,78
aberration,0.7330534362839992,0.1849041096022764,2.4351508050455397,178,166
aberystwyth,0.585709012093215,0.2595918108068038,1.9456832227011729,239,113
abet,0.7299058443732647,0.18624908834188647,2.4246947310460305,140,130
abeyance,0.7316982429500273,0.18548199441636387,2.4306489502354145,82,80
abhor,0.7118618660162179,0.19415033041340882,2.3647539323982176,107,103
abhorrent,0.6965475942915497,0.20111867803526653,2.313881022903303,61,59
abi,0.572184509560447,0.26780303246896625,1.9007557977681957,126,67
abide,0.7618238583219297,0.1730518082506891,2.5307240783151075,335,314
abiding,0.6787565157883639,0.20952868347565526,2.2547803393852237,268,255
abigail,0.5125886263785795,0.30719304131406894,1.7027825590867245,99,41
ability,0.819137131824986,0.15165714227498284,2.721114651774874,9712,6619
abingdon,0.41176593159191116,0.38746641849738117,1.3678568166726373,368,219
abject,0.6184012999716821,0.24076796387052324,2.0542846522907983,110,108
abl,0.6755081985664682,0.21110173438645424,2.2439896631447014,55,51
ablaze,0.6041888802388579,0.24877751176701768,2.0070720158839976,155,151
able,0.785771288732289,0.16376787404708323,2.61027572019564,25446,16506
ably,0.7080859161459554,0.19584571950875201,2.352210498439306,94,91
abnormal,0.7782220905024765,0.16663948298349723,2.585197826502152,760,512
abnormality,0.6750053737904551,0.2113462888509756,2.2423193153944583,708,361
abnormally,0.8339314697640664,0.14657791178153204,2.770260378619963,144,125
aboard,0.6003330619408991,0.25099607955965325,1.994263264751228,882,686
