Word,SemD_P1_U,SemD_P1_W,SemD_P2_U,SemD_P2_W,SemD_H13,ContextCount_P1_U,ContextCount_P1_W,ContextCount_P2_U,ContextCount_P2_W,ContextCount_H13
aa,1.631540332,2.463310233,1.606171014,2.539342401,1.688,297,297,294,294,314
aaa,0.964860322,1.812945002,0.929039318,1.853226709,1,58,58,59,59,58
aachen,0.887000407,1.805090877,0.921932942,2.063155279,0.93,74,74,64,64,74
aah,1.035931033,1.294634748,1.146434799,1.582600598,1.069,58,58,70,70,58
aaron,1.431312302,1.898008316,1.403273977,2.176850855,1.49,120,120,121,121,124
ab,1.712061137,2.74773962,1.686414794,2.91528772,1.73,302,302,288,288,304
aba,0.807100427,1.291685345,0.851433505,1.508560992,0.92,46,46,51,51,47
ababa,0.920699625,1.555021169,0.934330451,1.658423435,0.81,84,84,68,68,84
aback,1.472167774,1.265044044,1.461741319,1.861908569,1.587,290,290,283,283,293
abacus,,,1.474233132,2.017708134,1.644,,,40,40,40
abandon,1.943347016,2.304855412,1.917858766,2.529876381,2.086,1167,1167,3645,3645,1193
abandoned,1.905053732,2.210109797,1.516457391,2.140341082,2.105,2635,2635,346,346,2684
abandoning,1.957566539,2.287855997,,,2.104,455,455,,,464
abandonment,1.835309378,2.34923891,1.856191141,2.637704069,1.951,449,449,436,436,456
abandons,1.484428508,2.131112872,,,1.677,84,84,,,86
abashed,,,,,1.503,,,,,50
abate,1.484503326,2.201414614,1.756820357,2.599736042,1.532,51,51,171,171,51
abated,1.689997119,2.091285232,,,1.866,89,89,,,91
abatement,1.073663363,2.140123944,1.076494882,2.319281526,1.158,74,74,68,68,78
abattoir,1.450627978,1.827593415,1.407579287,2.119855989,1.579,50,50,66,66,51
abba,1.064873385,1.739608466,1.0170329,1.932641101,1.13,58,58,58,58,58
abbas,1.271316453,2.127411517,1.157001623,2.084474904,1.24,87,87,79,79,88
abbess,0.796270197,1.474736342,,,0.861,43,43,,,44
abbey,1.36693146,1.923022609,1.358822,2.141153755,1.495,1046,1046,976,976,1071
abbeys,0.998488626,1.613624019,,,1.134,108,108,,,109
abbot,1.019031767,1.585571739,1.084038491,1.947019844,1.069,334,334,356,356,343
abbots,0.999239062,1.568774099,,,1.041,141,141,,,143
abbott,1.492736852,2.177471052,1.507252118,2.43407612,1.55,158,158,142,142,160
abbreviate,,,1.76110548,2.612415709,,,,81,81,
abbreviated,1.759220287,2.372299316,1.74916327,3.035621361,1.825,128,128,63,63,132
abbreviation,1.464422094,2.213638925,1.452424887,2.546002731,1.493,68,68,146,146,69
abbreviations,1.385696247,2.28238887,,,1.37,98,98,,,101
abc,1.585377699,2.251005713,1.57672326,2.556151957,1.69,200,200,199,199,207
abd,0.827272981,1.69667527,0.825022611,1.596749285,0.78,63,63,64,64,64
abdel,0.726371914,1.282662995,0.718814803,1.244167526,0.68,115,115,101,101,115
abdicate,,,1.410260756,2.37952335,,,,108,108,
abdicated,1.108453757,1.777021161,,,1.24,54,54,,,55
abdication,1.263734184,1.842733237,1.408498152,2.292890963,1.395,92,92,92,92,93
abdomen,1.23578983,2.070591613,1.196371756,2.160913293,1.232,222,222,210,210,226
abdominal,1.167510322,2.066951695,1.155044557,2.027741023,1.083,308,308,260,260,309
abduct,,,1.404392507,2.087278301,,,,162,162,
abducted,1.432452175,1.939899088,,,1.517,145,145,,,148
abduction,1.406444624,1.894371898,1.435274934,2.173556428,1.483,143,143,146,146,146
abdul,1.131291667,1.821457031,1.058632217,1.764421184,1.09,184,184,175,175,184
