,DocID,contextIndex,ContextID
0,B76,0,B76_1
1,B76,1,B76_2
2,B76,2,B76_3
3,B76,3,B76_4
4,B76,4,B76_5
5,B76,5,B76_6
6,B76,6,B76_7
7,B76,7,B76_8
8,B76,8,B76_9
9,B7G,22,B7G_1
10,B7G,23,B7G_2
11,B7G,24,B7G_3
12,B7G,25,B7G_4
13,B7G,26,B7G_5
14,B7G,27,B7G_6
15,B7G,28,B7G_7
16,B7G,29,B7G_8
17,B7G,30,B7G_9
18,B7A,50,B7A_1
19,B7A,51,B7A_2
20,B7A,52,B7A_3
21,B7A,53,B7A_4
22,B7A,54,B7A_5
23,B7A,55,B7A_6
24,B74,56,B74_1
25,B74,57,B74_2
26,B74,58,B74_3
27,B74,59,B74_4
28,B74,60,B74_5
29,B74,61,B74_6
30,B74,62,B74_7
31,B74,63,B74_8
32,B74,64,B74_9
33,B7F,76,B7F_1
34,B7F,77,B7F_2
35,B7F,78,B7F_3
36,B7F,79,B7F_4
37,B7F,80,B7F_5
38,B7F,81,B7F_6
39,B7F,82,B7F_7
40,B7F,83,B7F_8
41,B73,84,B73_1
42,B73,85,B73_2
43,B73,86,B73_3
44,B73,87,B73_4
45,B73,88,B73_5
46,B73,89,B73_6
47,B73,90,B73_7
48,B73,91,B73_8
49,B73,92,B73_9
50,B72,109,B72_1
51,B72,110,B72_2
52,B72,111,B72_3
53,B72,112,B72_4
54,B72,113,B72_5
55,B72,114,B72_6
56,B72,115,B72_7
57,B72,116,B72_8
58,B72,117,B72_9
59,B79,133,B79_1
60,B79,134,B79_2
61,B79,135,B79_3
62,B79,136,B79_4
63,B79,137,B79_5
64,B79,138,B79_6
65,B7N,139,B7N_1
66,B7N,140,B7N_2
67,B7N,141,B7N_3
68,B7N,142,B7N_4
69,B7N,143,B7N_5
70,B7N,144,B7N_6
71,B7N,145,B7N_7
72,B7N,146,B7N_8
73,B7N,147,B7N_9
74,B7H,161,B7H_1
75,B7H,162,B7H_2
76,B7H,163,B7H_3
77,B7H,164,B7H_4
78,B7H,165,B7H_5
79,B7H,166,B7H_6
80,B7H,167,B7H_7
81,B7H,168,B7H_8
82,B7H,169,B7H_9
83,B7J,184,B7J_1
84,B7J,185,B7J_2
85,B7J,186,B7J_3
86,B7J,187,B7J_4
87,B7J,188,B7J_5
88,B7J,189,B7J_6
89,B7J,190,B7J_7
90,B7J,191,B7J_8
91,B7J,192,B7J_9
92,B7L,209,B7L_1
93,B7L,210,B7L_2
94,B7L,211,B7L_3
95,B7L,212,B7L_4
96,B7L,213,B7L_5
97,B7L,214,B7L_6
98,B7L,215,B7L_7
99,B7L,216,B7L_8
100,B7L,217,B7L_9
101,B7D,236,B7D_1
102,B7D,237,B7D_2
103,B7D,238,B7D_3
104,B7D,239,B7D_4
105,B7D,240,B7D_5
106,B7D,241,B7D_6
107,B7D,242,B7D_7
108,B7D,243,B7D_8
109,B7D,244,B7D_9
110,B71,255,B71_1
111,B71,256,B71_2
112,B71,257,B71_3
113,B71,258,B71_4
114,B71,259,B71_5
115,B71,260,B71_6
116,B71,261,B71_7
117,B71,262,B71_8
118,B71,263,B71_9
119,B7M,278,B7M_1
120,B7M,279,B7M_2
121,B7M,280,B7M_3
122,B7M,281,B7M_4
123,B7M,282,B7M_5
124,B7M,283,B7M_6
125,B7M,284,B7M_7
126,B7M,285,B7M_8
127,B7M,286,B7M_9
128,B75,301,B75_1
129,B75,302,B75_2
130,B75,303,B75_3
131,B75,304,B75_4
132,B75,305,B75_5
133,B75,306,B75_6
134,B75,307,B75_7
135,B75,308,B75_8
136,B75,309,B75_9
137,B78,324,B78_1
138,B78,325,B78_2
139,B78,326,B78_3
140,B78,327,B78_4
141,B78,328,B78_5
142,B78,329,B78_6
143,B78,330,B78_7
144,B78,331,B78_8
145,B78,332,B78_9
146,B77,349,B77_1
147,B77,350,B77_2
148,B77,351,B77_3
149,B77,352,B77_4
150,B77,353,B77_5
151,B77,354,B77_6
152,B77,355,B77_7
153,B77,356,B77_8
154,B77,357,B77_9
155,B7B,373,B7B_1
156,B7B,374,B7B_2
157,B7B,375,B7B_3
158,B7B,376,B7B_4
159,B7B,377,B7B_5
160,B7B,378,B7B_6
161,B7B,379,B7B_7
162,B7B,380,B7B_8
163,B7K,381,B7K_1
164,B7K,382,B7K_2
165,B7K,383,B7K_3
166,B7K,384,B7K_4
167,B7K,385,B7K_5
168,B7K,386,B7K_6
169,B7K,387,B7K_7
170,B7K,388,B7K_8
171,B7K,389,B7K_9
172,B7C,401,B7C_1
173,B7C,402,B7C_2
174,B7C,403,B7C_3
175,B7C,404,B7C_4
176,B7C,405,B7C_5
177,B7C,406,B7C_6
178,B7C,407,B7C_7
179,B7C,408,B7C_8
180,B7C,409,B7C_9
181,B7E,426,B7E_1
182,B7E,427,B7E_2
183,B7E,428,B7E_3
184,B7E,429,B7E_4
185,B7E,430,B7E_5
186,B7E,431,B7E_6
187,B7E,432,B7E_7
188,B12,433,B12_1
189,B12,434,B12_2
190,B12,435,B12_3
191,B12,436,B12_4
192,B12,437,B12_5
193,B12,438,B12_6
194,B12,439,B12_7
195,B12,440,B12_8
196,B12,441,B12_9
197,B1Y,452,B1Y_1
198,B1Y,453,B1Y_2
199,B1Y,454,B1Y_3
200,B1Y,455,B1Y_4
201,B1Y,456,B1Y_5
202,B1Y,457,B1Y_6
203,B1Y,458,B1Y_7
204,B1Y,459,B1Y_8
205,B1Y,460,B1Y_9
206,B1D,464,B1D_1
207,B1D,465,B1D_2
208,B1D,466,B1D_3
209,B1D,467,B1D_4
210,B1D,468,B1D_5
211,B1D,469,B1D_6
212,B1D,470,B1D_7
213,B1D,471,B1D_8
214,B1D,472,B1D_9
215,B16,484,B16_1
216,B16,485,B16_2
217,B16,486,B16_3
218,B16,487,B16_4
219,B16,488,B16_5
220,B16,489,B16_6
221,B16,490,B16_7
222,B16,491,B16_8
223,B16,492,B16_9
224,B1N,503,B1N_1
225,B1N,504,B1N_2
226,B1N,505,B1N_3
227,B1N,506,B1N_4
228,B1N,507,B1N_5
229,B1N,508,B1N_6
230,B1N,509,B1N_7
231,B1N,510,B1N_8
232,B1N,511,B1N_9
233,B1X,520,B1X_1
234,B1X,521,B1X_2
235,B1X,522,B1X_3
236,B1X,523,B1X_4
237,B1X,524,B1X_5
238,B1X,525,B1X_6
239,B1X,526,B1X_7
240,B1X,527,B1X_8
241,B1X,528,B1X_9
242,B15,540,B15_1
243,B15,541,B15_2
244,B15,542,B15_3
245,B15,543,B15_4
246,B15,544,B15_5
247,B15,545,B15_6
248,B15,546,B15_7
249,B15,547,B15_8
250,B15,548,B15_9
251,B1M,552,B1M_1
252,B1M,553,B1M_2
253,B1M,554,B1M_3
254,B1M,555,B1M_4
255,B1M,556,B1M_5
256,B1M,557,B1M_6
257,B1G,558,B1G_1
258,B1G,559,B1G_2
259,B1G,560,B1G_3
260,B1G,561,B1G_4
261,B1G,562,B1G_5
262,B1G,563,B1G_6
263,B1G,564,B1G_7
264,B1G,565,B1G_8
265,B1G,566,B1G_9
266,B1J,579,B1J_1
267,B1J,580,B1J_2
268,B1J,581,B1J_3
269,B1J,582,B1J_4
270,B1J,583,B1J_5
271,B1J,584,B1J_6
272,B1J,585,B1J_7
273,B1J,586,B1J_8
274,B1J,587,B1J_9
275,B1T,598,B1T_1
276,B1T,599,B1T_2
277,B1T,600,B1T_3
278,B1T,601,B1T_4
279,B1T,602,B1T_5
280,B1T,603,B1T_6
281,B1T,604,B1T_7
282,B1T,605,B1T_8
283,B1T,606,B1T_9
284,B1C,613,B1C_1
285,B1C,614,B1C_2
286,B1C,615,B1C_3
287,B1C,616,B1C_4
288,B1C,617,B1C_5
289,B1C,618,B1C_6
290,B10,619,B10_1
291,B10,620,B10_2
292,B10,621,B10_3
293,B10,622,B10_4
294,B10,623,B10_5
295,B10,624,B10_6
296,B10,625,B10_7
297,B10,626,B10_8
298,B10,627,B10_9
299,B1E,638,B1E_1
300,B1E,639,B1E_2
301,B1E,640,B1E_3
302,B1E,641,B1E_4
303,B1E,642,B1E_5
304,B1E,643,B1E_6
305,B1E,644,B1E_7
306,B1E,645,B1E_8
307,B1E,646,B1E_9
308,B14,658,B14_1
309,B14,659,B14_2
310,B14,660,B14_3
311,B14,661,B14_4
312,B14,662,B14_5
313,B14,663,B14_6
314,B14,664,B14_7
315,B14,665,B14_8
316,B14,666,B14_9
317,B1R,679,B1R_1
318,B1R,680,B1R_2
319,B1R,681,B1R_3
320,B1R,682,B1R_4
321,B1R,683,B1R_5
322,B1R,684,B1R_6
323,B1R,685,B1R_7
324,B1R,686,B1R_8
325,B1R,687,B1R_9
326,B1L,698,B1L_1
327,B1L,699,B1L_2
328,B1L,700,B1L_3
329,B1L,701,B1L_4
330,B1L,702,B1L_5
331,B1L,703,B1L_6
332,B1L,704,B1L_7
333,B1L,705,B1L_8
334,B1L,706,B1L_9
335,B1U,720,B1U_1
336,B1U,721,B1U_2
337,B1U,722,B1U_3
338,B1U,723,B1U_4
339,B1U,724,B1U_5
340,B1U,725,B1U_6
341,B1U,726,B1U_7
342,B1U,727,B1U_8
