"","Word","AmbiguityType","Length","Meanings","Senses","fSense","famfRes","eDom_biggest","colN","nLet","nSyll","nMeanings","nSenses","OLD","Imageability","ZipfFreq_Subtlex","OLD20","nsyl","coltN","nMeanings_WMD","nSenses_WMD"
"1","advance","Polysemy",7,"One","Many",2,-0.354285714285714,NA,NA,NA,NA,NA,NA,NA,NA,4.42,2.6,2,0,1,13
"2","alike","Unambiguous",5,"One","Few",1,-0.335367317867319,NA,NA,NA,NA,NA,NA,NA,NA,3.75,1.9,2,1,1,2
"3","alley","Homonymy",5,"Many","Few",1,-0.33687728937729,98,5,5,2,2,6,1.55,139,3.68,1.7,2,2,2,6
"4","angle","Hybrid",5,"Many","Many",2,-0.0593783068783074,79,5,5,2,2,11,1.3,85,4.45,1.5,2,1,2,11
"5","arch","Homonymy",4,"Many","Few",1,-0.515448717948718,91,3,4,1,2,6,1.55,126,3.88,1.7,1,1,2,6
"6","bail","Hybrid",4,"Many","Many",2,-0.95223544973545,66,18,4,1,3,11,1,71,4.33,1.1,1,15,3,11
"7","band","Homonymy",4,"Many","Few",1,0.984551282051282,60,19,4,1,2,7,1,145,4.94,1,1,15,2,7
"8","bang","Hybrid",4,"Many","Many",2,0.369193121693121,66,23,4,1,2,13,1,64,4.62,1.1,1,14,2,13
"9","bank","Hybrid",4,"Many","Many",2,0.762050264550265,78,21,4,1,2,12,1,129,5.28,1,1,18,2,12
"10","base","Homonymy",4,"Many","Few",1,-0.0868772893772896,86,18,4,1,2,9,1,44,4.72,1.1,1,14,2,9
"11","bass","Homonymy",4,"Many","Few",1,-0.408305860805862,59,23,4,1,3,5,1,114,4.18,1,1,17,3,5
"12","bean","Unambiguous",4,"One","Few",1,0.34320411070411,NA,NA,NA,NA,NA,NA,NA,NA,4.06,1.1,1,13,1,5
"13","bear","Hybrid",4,"Many","Many",2,0.97633597883598,72,21,4,1,2,13,1,139,4.88,1,1,19,2,13
"14","beg","Unambiguous",3,"One","Few",1,0.736061253561252,NA,NA,NA,NA,NA,NA,NA,NA,4.1,1.15,1,14,1,4
