"Word","Meanings","nMeanings_WMD","nSenses_WMD","coltN","Conc.M"
"admit","Many",1,3,1,2.32
"advance","Many",1,13,0,2.57
"affair","Many",1,6,0,2.45
"alone","One",1,4,3,2.86
"amuse","One",1,2,1,2.57
"apple","One",1,3,2,5
"arms","Many",NA,NA,7,4.97
"article","Many",1,4,NA,4.33
"baby","One",1,11,2,5
"badger","Many",1,3,3,4.37
"bark","Many",2,10,17,4.52
"batter","Many",3,5,16,4.41
"bible","One",NA,NA,1,4.61
"blind","Many",1,12,4,4.03
"bonnet","Many",1,5,1,4.93
"bowl","Many",2,14,9,4.87
"boxer","Many",1,2,5,4.63
"brain","One",1,4,6,4.69
"bridge","Many",2,7,2,4.97
"broke","Many",1,2,2,3.29
"brutal","One",1,3,0,2
"bulb","Many",1,3,2,4.93
"bus","One",2,4,10,4.9
"cabinet","Many",1,6,NA,4.89
"calf","Many",2,3,5,4.48
"can","Many",2,12,18,4.55
"cane","Many",1,7,20,4.87
"case","Many",2,14,13,3.93
"cattle","One",1,1,6,4.64
"chance","Many",1,8,2,1.64
"charm","Many",1,11,5,2.76
"chest","Many",1,4,3,4.93
"china","Many",1,2,4,4.79
"cider","One",1,1,3,4.97
"cigar","One",1,1,0,4.93
"citizen","One",1,2,NA,4.43
"clay","One",1,3,9,4.93
"clog","Many",1,7,6,3.47
"coal","One",1,3,7,4.66
"company","Many",1,7,NA,4.11
"craft","Many",1,6,3,3.48
"cricket","Many",2,4,1,4.77
"custard","One",1,1,3,4.85
"deed","Many",1,4,15,3.86
"degree","Many",1,6,1,3
"dense","Many",1,4,3,3.14
"destroy","One",1,5,0,3.08
"diamond","One",1,7,NA,4.89
"digit","Many",1,2,0,4.52
"dollar","One",1,3,1,4.93
"dozen","One",1,3,3,4.66
"dry","Many",1,14,6,3.77
"express","Many",1,8,1,2.21
"fee","One",1,2,15,3.89
"feet","Many",1,1,8,NA
"fence","Many",1,5,2,4.82
"firm","Many",2,8,5,3.54
"fling","Many",1,8,4,3.14
"forest","One",1,3,1,4.76
"fraud","One",1,3,0,1.68
"free","Many",1,17,3,2.04
"frog","One",2,5,4,5
"fun","One",1,1,15,1.97
"glare","Many",2,7,4,3.83
"glass","Many",1,5,3,4.82
"glove","One",1,5,3,4.97
"goat","One",1,5,8,5
