"","Word","SemD_P1_U","SemD_P1_W","SemD_P2_U","SemD_P2_W","SemD_H13","ContextCount_P1_U","ContextCount_P1_W","ContextCount_P2_U","ContextCount_P2_W","ContextCount_H13","Freq"
"1","aa",1.63154033202826,2.46331023305796,1.60617101417742,2.53934240087674,1.688,297,297,294,294,314,3.68
"2","aaa",0.964860322429641,1.81294500164968,0.929039318116948,1.85322670909506,1,58,58,59,59,58,2.93
"3","aachen",0.887000407111872,1.80509087731014,0.921932942095452,2.06315527901691,0.93,74,74,64,64,74,3.1
"4","aah",1.03593103271764,1.29463474836294,1.14643479923043,1.58260059838296,1.069,58,58,70,70,58,3.35
"5","aaron",1.43131230188552,1.89800831637452,1.4032739766624,2.17685085504894,1.49,120,120,121,121,124,3.51
"6","ab",1.71206113688795,2.74773962000708,1.68641479408335,2.9152877202659,1.73,302,302,288,288,304,3.58
"7","aba",0.807100427252808,1.29168534514216,0.85143350463225,1.50856099236915,0.92,46,46,51,51,47,2.92
"8","ababa",0.920699625104705,1.55502116942671,0.934330450917025,1.65842343542823,0.81,84,84,68,68,84,3.23
"9","aback",1.4721677736372,1.26504404406683,1.46174131908232,1.86190856850296,1.587,290,290,283,283,293,3.51
"10","abacus",NA,NA,1.47423313165049,2.01770813402292,1.644,NA,NA,40,40,40,2.74
"11","abandon",1.94334701584439,2.30485541187519,1.91785876607626,2.52987638078249,2.086,1167,1167,3645,3645,1193,4.12
"12","abandoned",1.9050537320877,2.21010979704311,1.51645739085389,2.14034108248966,2.105,2635,2635,346,346,2684,4.48
"13","abandoning",1.95756653914331,2.28785599659067,NA,NA,2.104,455,455,NA,NA,464,3.69
"14","abandonment",1.83530937838185,2.349238910021,1.85619114064292,2.6377040694056,1.951,449,449,436,436,456,3.69
"15","abandons",1.48442850822495,2.13111287206082,NA,NA,1.677,84,84,NA,NA,86,2.95
"16","abashed",NA,NA,NA,NA,1.503,NA,NA,NA,NA,50,2.76
"17","abate",1.48450332592119,2.20141461427032,1.75682035735962,2.59973604167994,1.532,51,51,171,171,51,2.84
"18","abated",1.68999711871564,2.09128523170461,NA,NA,1.866,89,89,NA,NA,91,3.02
"19","abatement",1.07366336275955,2.14012394414401,1.0764948817979,2.31928152605497,1.158,74,74,68,68,78,3.13
"20","abattoir",1.45062797803245,1.82759341455001,1.40757928749491,2.11985598906261,1.579,50,50,66,66,51,2.82
"21","abba",1.06487338519548,1.73960846561041,1.0170328997101,1.93264110083357,1.13,58,58,58,58,58,3.01
"22","abbas",1.27131645272803,2.12741151664735,1.15700162313337,2.08447490353353,1.24,87,87,79,79,88,2.97
"23","abbess",0.796270197011828,1.47473634202701,NA,NA,0.861,43,43,NA,NA,44,2.76
"24","abbey",1.36693145964458,1.92302260923944,1.35882200007804,2.14115375474242,1.495,1046,1046,976,976,1071,4.29
"25","abbeys",0.998488625589935,1.6136240190568,NA,NA,1.134,108,108,NA,NA,109,2.93
"26","abbot",1.01903176664961,1.58557173922384,1.08403849145467,1.94701984386661,1.069,334,334,356,356,343,3.77
"27","abbots",0.999239062131861,1.56877409913536,NA,NA,1.041,141,141,NA,NA,143,3.08
"28","abbott",1.49273685209387,2.17747105232979,1.50725211806008,2.43407611991203,1.55,158,158,142,142,160,3.42
"29","abbreviate",NA,NA,1.76110547976729,2.6124157085763,NA,NA,NA,81,81,NA,2.28
"30","abbreviated",1.75922028708402,2.37229931602255,1.74916327021292,3.03562136070077,1.825,128,128,63,63,132,3.26
"31","abbreviation",1.46442209438685,2.21363892478693,1.45242488671735,2.54600273054176,1.493,68,68,146,146,69,2.98
"32","abbreviations",1.38569624661852,2.28238886972856,NA,NA,1.37,98,98,NA,NA,101,3.13
"33","abc",1.58537769946707,2.25100571342167,1.57672326042071,2.55615195689631,1.69,200,200,199,199,207,3.55
"34","abd",0.827272980932512,1.69667526965378,0.825022611315307,1.59674928481691,0.78,63,63,64,64,64,3.01
"35","abdel",0.726371914058907,1.28266299518218,0.718814803414966,1.24416752617335,0.68,115,115,101,101,115,3.02
"36","abdicate",NA,NA,1.41026075578736,2.37952335007213,NA,NA,NA,108,108,NA,2.67
"37","abdicated",1.1084537567477,1.77702116109758,NA,NA,1.24,54,54,NA,NA,55,2.85
"38","abdication",1.26373418357974,1.84273323681376,1.40849815223954,2.29289096254742,1.395,92,92,92,92,93,3.09
"39","abdomen",1.23578983024338,2.07059161305288,1.19637175641195,2.16091329301357,1.232,222,222,210,210,226,3.48
